"7 Апреля 2019 [11 45]" "8 апреля в горах Дагестана выше 2500 м  в горах Республики Алтай лавиноопасно "
"16 Апреля 2017 [12 35]" "В период с 18 часов 16 апреля до 18 часов 17 апреля в горах Краснодарского края  Адыгеи  Ингушетии и Чеченской Республики выше 2500 м лавиноопасно  В период с 18 часов 16 апреля до 18 часов 19 апреля в горах Сочи выше 1000 м лавиноопасно "
"16 Апреля 2017 [01 12]" "Утром 16 апреля в степных и предгорных районах Крыма на поверхности почвы ожидаются заморозки до -2°"
"15 Апреля 2017 [21 19]" "Ночью и утром 16 апреля в Свердловской области ожидается ледяной дождь  отложение мокрого снега на проводах  гололед  на дорогах сильная гололедица  днем усиление ветра до 20-25 м/с "
"14 Апреля 2017 [18 10]" "Ночью и утром 15 апреля в степных и предгорных районах Крыма ожидаются заморозки  температура -2   0°  "
"14 Апреля 2017 [12 35]" "Ночью и утром 16-17 апреля в Ростовской области ожидаются заморозки  температура -3   -1°  "
"14 Апреля 2017 [12 35]" "15 апреля в горах Ингушетии и Чеченской Республики лавиноопасно "
"14 Апреля 2017 [12 30]" "15 апреля в горах Краснодарского края и Адыгеи лавиноопасно "
"14 Апреля 2017 [11 20]" "15-17 апреля в горах Республики Алтай лавиноопасно "
"14 Апреля 2017 [10 30]" "В ближайший час с сохранением до конца суток 14 апреля в Туапсинском районе Краснодарского края ожидается очень сильный дождь  на реках повышение уровня воды до неблагоприятных отметок "
"13 Апреля 2017 [14 39]" "В ближайшие часы 13 апреля и ночью 14 апреля местами в Свердловской области ожидается усиление ветра до 20-25 м/с"
"13 Апреля 2017 [13 39]" "14 апреля в западных  северных и Верхнеленских районах ожидается ветер 20-25 м/с  дождь  мокрый снег  снег "
"13 Апреля 2017 [13 39]" "14 апреля в западных  северных и Верхнеленских районах Иркутской области ожидается ветер 20-25 м/с  дождь  мокрый снег  снег "
"13 Апреля 2017 [11 01]" "14 апреля в северной половине Бурятии  местами в Забайкальском крае ожидается усиление ветер до 25-28 м/с "
"13 Апреля 2017 [08 55]" "В период с 14 по 16 апреля в горах юга Камчатского края лавиноопасно "
"12 Апреля 2017 [14 15]" "До конца дня 12 апреля и ночью 13 апреля в северных районах Иркутской области ожидается очень сильный северо-западный ветер 20-25 м/с "
"12 Апреля 2017 [12 45]" "В период с 18 часов 12 апреля до 18 часов 13 апреля в горах Краснодарского края  кроме горных районов Сочи   Адыгеи  Ингушетии и Чеченской Республики выше 2500 м лавиноопасно "
"12 Апреля 2017 [12 35]" "Ночью и утром 13 апреля сохранятся заморозки в воздухе и на поверхности почвы в Адыгее  Ингушетии  Чеченской Республике и в юго-восточных предгорьях Краснодарского края  температура -3   -1°  "
"12 Апреля 2017 [12 35]" "Ночью и утром 13 апреля сохранятся заморозки в воздухе и на поверхности почвы в Адыгее  Ингушетии  Чеченской Республике и в юго-восточных предгорьях Краснодарского края  температура -3   -1°  "
"11 Апреля 2017 [14 40]" "12 апреля в горах Краснодарского края  Адыгеи  Ингушетии и Чеченской Республики  выше 2500 м   12-14 апреля Республики Алтай лавиноопасно "
"11 Апреля 2017 [12 55]" "12-13 апреля в Ростовской области ожидаются заморозки  температура ночью и утром -3   -1°  "
"11 Апреля 2017 [12 18]" "11-12 апреля в Ставропольском крае  Северной Осетии ожидаются заморозки  температура ночью утром -2   -1°  "
"10 Апреля 2017 [14 03]" "11 апреля в горах Краснодарского края  Адыгеи  Ингушетии и Чеченской Республики  выше 2500 м   Республики Алтай лавиноопасно "
"10 Апреля 2017 [13 57]" "11-12 апреля в Ингушетии  Чеченской Республике ожидаются заморозки  температура ночью и утром -2   -1°  "
"10 Апреля 2017 [12 18]" "11-12 апреля в Ставропольском крае  Северной Осетии ожидаются заморозки  температура ночью утром -2   -1°  "
"10 Апреля 2017 [06 45]" "10-12 апреля в северных районах Хабаровского края ожидается сильный снег  метель  ветер 20-25 м/с "
"10 Апреля 2017 [06 40]" "10-12 апреля в Адыгее ожидаются заморозки  температура ночью и утром -3   -1°  "
"9 Апреля 2017 [13 25]" "Утром 10 апреля в западной части Ставропольского края ожидаются заморозки  температура до -2°  "
"9 Апреля 2017 [11 57]" "10 апреля в горах Краснодарского края  Адыгеи  Ингушетии и Чеченской Республики выше 2500 метров  Республики Алтай лавиноопасно "
"8 Апреля 2017 [20 05]" "Ночью и утром 9 апреля с сохранением 10 апреля в районе Малых Кармакул  Архангельская область  ожидается восточный  северо-восточный ветер 25-30 м/с  порывами до 45 м/с  снег  сильная метель  видимость менее 500 м  "
"7 Апреля 2017 [14 35]" "8 апреля в горах Краснодарского края  Адыгеи  Ингушетии и Чеченской Республики лавиноопасно "
"7 Апреля 2017 [14 25]" "Ночью и утром 10-12 апреля в Краснодарском крае заморозки -3   -1° "
"7 Апреля 2017 [14 25]" "Ночью и утром 10-12 апреля в Краснодарском крае заморозки -3   -1° "
"7 Апреля 2017 [14 15]" "8-ночью 9 апреля в Крыму сильный дождь  ветер 18-23 м/с "
"7 Апреля 2017 [06 05]" "8 апреля в Амурской области ожидается сильный снег  метель  ветер 18-23 м/с "
"7 Апреля 2017 [06 05]" "Вечером 7 апреля с сохранением 8 апреля в Амурской области ожидается сильный снег  метель  ветер 18-23 м/с "
"6 Апреля 2017 [11 35]" "7 апреля в горах Ингушетии и Чеченской Республики лавиноопасно "
"6 Апреля 2017 [11 30]" "7 апреля в горах Краснодарского края и Адыгеи лавиноопасно "
"6 Апреля 2017 [11 25]" "7-9 апреля в горах Республики Алтай лавиноопасно "
"5 Апреля 2017 [11 17]" "Ночью и утром 6 апреля в предгорных и горных районах Адыгеи сохранятся заморозки в воздухе  температура -3   -1°  "
"5 Апреля 2017 [11 17]" "Ночью и утром 6 апреля в предгорных и горных районах Адыгеи сохранятся заморозки в воздухе  температура -3   -1°  "
"4 Апреля 2017 [12 55]" "5 апреля в Свердловской области и Пермском крае местами ожидается сильные гололедные явления  усиление ветра 20-25 м/с  Днем 5 апреля в Челябинской области местами ожидается усиление ветра 21-26 м/с "
"4 Апреля 2017 [12 50]" "В период с 18 часов 4 апреля до 18 часов 5 апреля в Цунтинском районе Дагестана  в горах Краснодарского края  кроме горных районов Сочи   Адыгеи  Ингушетии и Чеченской Республики выше 2500 м лавиноопасно "
"4 Апреля 2017 [11 30]" "Ночью и утром 5 апреля в южной части Ставропольского края сохранятся заморозки в воздухе и на поверхности почвы до -2° "
"4 Апреля 2017 [09 50]" "Ночью 5 апреля в Кемеровской области ожидается усиление ветра до 15-20 м/с  местами порывы 22-27 м/с "
"4 Апреля 2017 [08 55]" "Во второй половине дня 4 апреля и ночью 5 апреля в Алтайском крае ветер 15-20 м/с  порывы 22-27 м/с  осадки в виде мокрого снега и снега  гололедные явления "
"3 Апреля 2017 [12 35]" "4 апреля в горах Краснодарского края  кроме горных районов Сочи   Адыгеи  Ингушетии  Чеченской Республики выше 2500 м  в Цунтинском районе Дагестана  а также 4-6 апреля в горах Республики Алтай лавиноопасно "
"3 Апреля 2017 [11 55]" "Ночью и утром 4 апреля в южной части Ставропольского края заморозки до -2°  4 и 5 апреля в Адыгее заморозки  температура ночью до -3°  "
"2 Апреля 2017 [15 03]" "Днем 2 апреля с сохранением ночью 3 апреля в Свердловской области ожидается ветер 20-25 м/с "
"2 Апреля 2017 [11 00]" "3 апреля в горах Краснодарского края  кроме горных районов Сочи   Адыгеи  Ингушетии  Чеченской Республики выше 2500 м  в Цунтинском районе Дагестана лавиноопасно "
"2 Апреля 2017 [10 47]" "Ночью и утром 3-4 апреля в Краснодарском крае местами сохранятся заморозки  температура -3   -1°  "
"2 Апреля 2017 [10 47]" "Ночью и утром 3-4 апреля в Краснодарском крае местами сохранятся заморозки  температура -3   -1°  "
"1 Апреля 2017 [17 30]" "С 06 00 ВСВ 1 апреля на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края местами ожидаются порывы очень сильного юго-западного ветра 22-27 м/с "
"1 Апреля 2017 [11 30]" "2 апреля в горах Ингушетии  Чеченской Республики и Дагестана лавиноопасно "
"1 Апреля 2017 [11 25]" "2 апреля в горах Краснодарского края и Адыгеи лавиноопасно "
"1 Апреля 2017 [11 00]" "2 апреля в Хакасии ожидается ветер 22-27 м/с "
"1 Апреля 2017 [10 35]" "С 11-14 ч МСК с сохранением в течение суток 1 апреля в Мурманске и на севере Мурманской области ожидается ветер 20-25 м/с  в Кольском заливе до 27 м/с   снег  метель "
"1 Апреля 2017 [08 10]" "2 апреля в западных  северо-западных  северных районах местами ожидается усиление западного  северо-западного ветра 20-25 м/с  мокрый снег  снег  метель  налипание мокрого снега "
"1 Апреля 2017 [08 10]" "2 апреля в западных  северо-западных  северных районах Иркутской области местами ожидается усиление западного  северо-западного ветра 20-25 м/с  мокрый снег  снег  метель  налипание мокрого снега "
"1 Апреля 2017 [07 30]" "С 06 00 ВСВ 1 апреля на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края местами ожидаются порывы очень сильного юго-западного ветра 22-27 м/с "
"31 Марта 2017 [14 25]" "Ночью 1 апреля в Хакасии сохранятся порывы очень сильного ветра 25-27 м/с "
"31 Марта 2017 [14 10]" "В период с 18 часов 31 марта до 18 часов 1 апреля в Цунтинском районе Дагестана лавиноопасно  В период с 18 часов 31 марта до 18 часов 1 апреля в горах Краснодарского края  кроме горных районов Сочи   Адыгеи  Ингушетии и Чеченской Республики выше 2500 м лавиноопасно "
"31 Марта 2017 [11 05]" "1-2 апреля в Новосибирской  Томской  Кемеровской областях  Алтайском крае и Республики Алтай ожидаются осадки в виде мокрого снега и дождя  местами сильные  гололедные явления  усиление ветра до 18-23 м/с  местами порывы 25-27 м/с  в горах республики Алтай до 33 м/с  с последующим похолоданием  На дорогах сильная гололедица "
"31 Марта 2017 [10 50]" "1-2 апреля в Краснодарском крае  1-3 апреля в Адыгее ожидаются заморозки  температура ночью и утром до -1   -3  "
"31 Марта 2017 [10 30]" "2 апреля в центральных и южных районах Красноярского края  в Эвенкийском муниципальном районе Красноярского края ожидается сильный ветер западного направления с порывами 17-22 м/с  местами 25-27 м/с "
"30 Марта 2017 [10 15]" "Днем 30 марта и в первой половине ночи 31 марта в Челябинской  Курганской областях ожидается сильный снег  мокрый снег  сильное отложение мокрого снега на проводах  на дорогах сильная гололедица  ветер 20-25 м/с "
"29 Марта 2017 [13 35]" "Ночью и утром 1 апреля в Краснодарском крае  исключая черноморское побережье  ожидаются заморозки  температура -3   -1°  "
"29 Марта 2017 [11 30]" "30 марта в горах Кабардино-Балкарии  Северной Осетии  Ингушетии  Чеченской Республики  Дагестана лавиноопасно "
"29 Марта 2017 [11 25]" "30 марта в горах Краснодарского края и Адыгеи лавиноопасно "
"29 Марта 2017 [11 15]" "31 марта – 1 апреля в горах Республики Алтай лавиноопасно "
"28 Марта 2017 [15 12]" "29 марта в горах Краснодарского края  кроме горных районов Сочи  выше 2000 м и в горах Адыгеи  Ингушетии  Чеченской Республики выше 2500 м лавиноопасно "
"27 Марта 2017 [18 58]" "С 16 30 ВСВ 27 марта на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края местами ожидаются порывы очень сильного южного ветра 20-25 м/с "
"27 Марта 2017 [11 20]" "В период с 18 часов 27 марта до 18 часов 28 марта в Цунтинском районе Дагестана лавиноопасно  В период с 18 часов 27 марта до 18 часов 28 марта в горах Краснодарского края  Адыгеи  Ингушетии и Чеченской Республики выше 2500 м лавиноопасно  В период от 18 часов 27 марта до 18 часов 28 марта в горах Сочи выше 1000 м лавиноопасно "
"26 Марта 2017 [12 55]" "27 марта в горах Краснодарского края  кроме горных районов Сочи   Адыгеи  Ингушетии  Чеченской Республики выше 2500 м  Дагестана  а также Республики Алтай лавиноопасно"
"25 Марта 2017 [11 15]" "26 марта в горах Ингушетии  Чеченской Республики и Дагестана лавиноопасно "
"25 Марта 2017 [11 10]" "26 марта в горах Краснодарского края и Адыгеи лавиноопасно "
"24 Марта 2017 [11 28]" "27 марта в горах Краснодарского края  кроме горных районов Сочи   Адыгеи  Ингушетии  Чеченской Республики выше 2500 м  в Цунтинском районе Дагестана лавиноопасно "
"24 Марта 2017 [09 54]" "27 марта в горах Республики Алтай лавиноопасно "
"23 Марта 2017 [12 10]" "С 18 часов 23 марта до 18 часов 24 марта в Цунтинском районе Дагестана лавиноопасно  В период с 18 часов 23 марта до 18 часов 24 марта в горах Краснодарского края  кроме горных районов Сочи  выше 2000 м и в горах Адыгеи  Ингушетии и Чеченской Республике выше 2500 м лавиноопасно "
"23 Марта 2017 [10 50]" "25-26 марта в горах Республики Алтай лавиноопасно  "
"21 Марта 2017 [12 52]" "22-24 марта в горах Республики Алтай  а также 22 марта Краснодарского края  кроме горных районов Сочи  выше 2000 м  Адыгеи  Ингушетии и Чеченской Республики выше 2500 м  в Цунтинском районе  Дагестана  лавиноопасно  "
"21 Марта 2017 [06 55]" "Утром и в первой половине дня 21 марта в Северной Осетии ожидается сильное налипание мокрого снега на проводах и деревьях "
"20 Марта 2017 [11 24]" "21 марта в горах Адыгеи  Ингушетии  Чеченской Республики выше 2500 м  Краснодарского края  Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии выше 2000 м  в Цунтинском районе Дагестана лавиноопасно  "
"19 Марта 2017 [11 00]" "С 16 часов 19 марта до 18 часов 20 марта в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии  Дагестана выше 2000 м лавиноопасно  С 18 часов 19 марта до 18 часов 20 марта в горах Краснодарского края выше 2000 м и в горах Адыгеи  Ингушетии и Чеченской Республике выше 2500 м лавиноопасно  В период с 18 часов 19 марта до 18 часов 21 марта в горных районах Сочи выше 1500 м лавиноопасно  "
"18 Марта 2017 [20 30]" "18-20 марта в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии  Дагестана лавиноопасно  "
"18 Марта 2017 [11 40]" "19-ночью 20 марта в Крыму ожидается сильный дождь  в горах с мокрым снегом  местами очень сильные осадки  ветер юго-западный 20-25 м/с "
"18 Марта 2017 [11 20]" "19 марта в горах Краснодарского края выше 2000 м  Адыгеи  Ингушетии  Чеченской Республики выше 2500 м  а также Республики Алтай лавиноопасно  "
"17 Марта 2017 [11 55]" "18 марта в горах Ингушетии  Чеченской Республики лавиноопасно  "
"17 Марта 2017 [11 50]" "18 марта в горах Краснодарского края  Адыгеи лавиноопасно  "
"17 Марта 2017 [10 50]" "18-20 марта в горах Республики Алтай лавиноопасно  "
"16 Марта 2017 [09 48]" "17 марта в горах Краснодарского края  Ингушетии  Чеченской Республики выше 2000 м  Адыгеи выше 2500 м лавиноопасно  "
"15 Марта 2017 [22 03]" "С 20 00 ВСВ 15 марта на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края местами ожидаются порывы очень сильного южного ветра 21-26 м/с "
"14 Марта 2017 [18 00]" "15 марта в горах Краснодарского края  включая горы Сочи выше 1000 м   Адыгеи  Ингушетии  Чеченской Республики выше 2000 м  Республики Алтай лавиноопасно "
"14 Марта 2017 [18 00]" "14 марта в горах Краснодарского края  включая горы Сочи выше 1000 м   Адыгеи  Ингушетии  Чеченской Республики выше 2000 м  Республики Алтай лавиноопасно "
"13 Марта 2017 [12 21]" "14 марта в горах Краснодарского края  кроме горных районов Сочи   Адыгеи  Ингушетии  Чеченской Республики выше 2000 м  Республики Алтай лавиноопасно "
"12 Марта 2017 [11 08]" "13 марта в горах Краснодарского края  кроме горных районов Сочи   Адыгеи  Ингушетии  Чеченской Республики выше 2000 м лавиноопасно "
"12 Марта 2017 [10 16]" "13 марта в горах Республики Алтай лавиноопасно "
"12 Марта 2017 [08 10]" "В период с 00 час 13 марта до 15 марта включительно на юге Камчатского края в горах лавиноопасно "
"11 Марта 2017 [19 10]" "В период 05-09 час ВСВ с сохранением до 18-21 час ВСВ 12 марта в районе 01 в подрайонах 24 25  побережье Мурмана  ожидается опасное волнение 6 0-7 0 м при западном северо-западном ветре в порывах 25-30 м/с "
"11 Марта 2017 [11 28]" "12 марта в горах Краснодарского края  кроме горных районов Сочи   Адыгеи  Ингушетии и Чеченской Республики выше 2000 м лавиноопасно "
"10 Марта 2017 [12 00]" "11 марта в горах Краснодарского края  кроме горных районов Cочи  выше 1000 м  Адыгеи  Ингушетии выше 1500 м  Чеченской Республики выше 2000 м  Кабардино-Балкарии  Северной Осетии лавиноопасно "
"10 Марта 2017 [12 00]" "11 марта в горах Краснодарского края  кроме горных районов Cочи  выше 1000 м  Адыгеи  Ингушетии выше 1500 м  Чеченской Республики выше 2000 м  Кабардино-Балкарии  Северной Осетии "
"9 Марта 2017 [16 47]" "С 17 30 МСК 9 марта на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края местами ожидаются порывы очень сильного южного ветра 21-26 м/с "
"9 Марта 2017 [12 30]" "10 марта в горах Краснодарского края  кроме горных районов Cочи  выше 1000 м  Адыгеи  Ингушетии выше 1500 м  Чеченской Республики выше 2000 м  Кабардино-Балкарии  Северной Осетии  10-12 марта в горах Республики Алтай лавиноопасно "
"9 Марта 2017 [12 30]" "10 марта в горах Краснодарского края  кроме горных районов Cочи  выше 1000 м  Адыгеи  Ингушетии выше 1500 м  Чеченской Республики выше 2000 м  Кабардино-Балкарии  Северной Осетии  10-12 марта в горах Республики лавиноопасно "
"9 Марта 2017 [06 58]" "На побережье Восточно-Сибирского моря Чукотского автономного округа ожидается усиление южного  юго-восточного ветра в период 09-12 часов МСК 9 марта до 33-38 м/с  в период 21-00 часов МСК 9-10 марта до 42 м/с  низовая метель "
"8 Марта 2017 [11 06]" "9 марта в горах Краснодарского края  кроме горных районов Cочи  выше 1000 м  Адыгеи  Ингушетии выше 1500 м  Чеченской Республики выше 2000 м  Кабардино-Балкарии  Северной Осетии  в Цунтинском районеДагестана лавиноопасно "
"8 Марта 2017 [08 10]" "8-9 марта в районе Певека  Чукотский автономный округ  дальнейшее усиление южного  юго-восточного ветра 25-30 м/с  порывами 35-40 м/с  на востоке Чукотского автономного округа 23-28 м/с  на побережье морей до 40 м/с  продолжительная метель "
"7 Марта 2017 [15 03]" "В период 12-15 ВСВ 7 марта в районе Певека Чукотского автономного округа ожидается усиление юго-восточного ветра 23-28 м/с с порывами 33-38 м/с  сильная метель  видимость менее 500 м и менее   продолжительность около суток "
"7 Марта 2017 [12 18]" "8 марта в горах Краснодарского края  кроме горных районов Cочи  выше 1000 м  Адыгеи  Ингушетии выше 1500 м  Чеченской Республики выше 2000 м  Кабардино-Балкарии  Карачаево-Черкесии  Северной Осетии  Дагестана лавиноопасно "
"6 Марта 2017 [14 11]" "7 марта в центральных и северных районах Владимирской области ожидается сильный гололед  сильное сложное отложение  На дорогах сильная гололедица "
"6 Марта 2017 [12 41]" "7 марта в горах Краснодарского края  кроме горных районов Cочи  выше 1000 м  Адыгеи  Ингушетии выше 1500 м  Чеченской Республики выше 2000 м  Кабардино-Балкарии  Карачаево-Черкесии  Северной Осетии  Дагестана  7-9 марта в горах Республики Алтай лавиноопасно "
"6 Марта 2017 [06 20]" "В течение первой половины дня 6 марта в Омской области сохранится сильное гололедно-изморозевое отложение "
"3 Марта 2017 [16 34]" "3 марта до 18 часов 4 марта в горах Кабардино-Балкарии  Карачаево-Черкесии  Северной Осетии и Дагестана лавиноопасно "
"3 Марта 2017 [13 13]" "В период с 18 часов 3 марта до 18 часов 4 марта в горах Краснодарского края выше 1000 м  в горах Адыгеи и Ингушетии выше 1500 м и в горах Чеченской Республики выше 2000 м лавиноопасно "
"3 Марта 2017 [07 20]" "В течение дня 3 марта на Курильских островах в Курильском районе ожидается очень сильный дождь 50 мм и более "
"3 Марта 2017 [03 10]" "В ближайший час с сохранением до конца суток 3 марта на юге Таймырского муниципального района Красноярского края ожидается сильный ветер порывами 21-26 м/с "
"2 Марта 2017 [18 31]" "3-5 марта в горах Республики Алтай лавиноопасно "
"2 Марта 2017 [18 31]" "3 марта в горах Краснодарского края выше 1000 м  Адыгеи и Ингушетии выше 1500 м и Чеченской Республики выше 2000 м лавиноопасно "
"1 Марта 2017 [11 15]" "2 марта в горах Ингушетии и Чеченской Республики лавиноопасно "
"1 Марта 2017 [11 10]" "2 марта в горах Краснодарского края и Адыгеи лавиноопасно "
"1 Марта 2017 [11 05]" "2 марта в горах Республики Алтай лавиноопасно "
"28 Февраля 2017 [10 57]" "1 марта в горах Краснодарского края выше 1000 м  Адыгеи  Ингушетии выше 1500 м  Чеченской Республики выше 2000 м лавиноопасно "
"28 Февраля 2017 [10 14]" "1марта в горах Республики Алтай лавиноопасно "
"27 Февраля 2017 [16 28]" "До конца дня 27 февраля с сохранением ночью 28 февраля местами по Омской области ожидается очень сильный ветер с порывами 25 м/с "
"27 Февраля 2017 [07 42]" "28 февраля 2 марта в горах Камчатского края лавиноопасно "
"26 Февраля 2017 [22 20]" "С 03 00 МСК 27 февраля на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края местами ожидаются порывы очень сильного ветра 23-28 м/с "
"26 Февраля 2017 [22 10]" "В связи с ликвидацией ледового затора ОТМЕНА ОЯ  Вечером 26 февраля с сохранением до утра 27 февраля на р Крепкая у с Большекрепинское Родионо-Несветайского района Ростовской области в результате образовавшегося затора ниже поста ожидается дальнейшее повышение уровня воды с достижением опасной отметки "
"26 Февраля 2017 [19 40]" "Вечером 26 февраля с сохранением до утра 27 февраля на р Крепкая у с Большекрепинское Родионо-Несветайского района Ростовской области в результате образовавшегося затора ниже поста ожидается дальнейшее повышение уровня воды с достижением опасной отметки "
"26 Февраля 2017 [16 12]" "27 февраля в Цунтинском районе Дагестана  в горах Краснодарского края  выше 1000 м   Адыгеи и Ингушетии  выше 1500 м   Чеченской Республики  выше 200 м   Республики Алтай лавиноопасно "
"25 Февраля 2017 [13 45]" "26-27 февраля в горных районах Сочи лавиноопасно "
"25 Февраля 2017 [13 40]" "В ближайшие 8-10 ч с сохранением ночью и в первой половине дня 26 февраля в горах МО город-курорт Сочи ожидается очень сильный снег "
"25 Февраля 2017 [11 45]" "26 февраля в горах Ингушетии  Чеченской Республики и Дагестана лавиноопасно "
"25 Февраля 2017 [11 35]" "26 февраля в горах Краснодарского края и Адыгеи лавиноопасно "
"25 Февраля 2017 [10 35]" "26 февраля в горах Республики Алтай лавиноопасно "
"24 Февраля 2017 [11 50]" "25 февраля в горах Краснодарского края выше 1000 м  Адыгеи  Ингушетии выше 1500 м  Чеченской Республики выше 2000 м лавиноопасно "
"24 Февраля 2017 [10 50]" "25 февраля в горах Республики Алтай лавиноопасно "
"23 Февраля 2017 [12 26]" "24 февраля в горах Краснодарского края и Сочи выше 1000 м  в горных районах Адыгеи и Ингушетии выше 1500 м  в Чеченской Республики выше 2000 м  также в горах Республики Алтай лавиноопасно "
"23 Февраля 2017 [12 21]" "В ближайшие 2-3 часа и до конца дня 23 февраля в Крыму ожидается усиление юго-западного ветра 20-25 м/с "
"23 Февраля 2017 [09 30]" "23 февраля в г  Сыктывкар  Коми  аномально холодая погода со среднесуточной температурой ниже климатической нормы на 10° и более "
"23 Февраля 2017 [09 25]" "23-24 февраля в Чукотском автономном округе сильный снег  сильная метель  ветер 20-25 м/с  на побережье 25-30 м/с  порывы 35-40 м/с "
"22 Февраля 2017 [20 00]" "22-23 февраля в Крымских горах лавиноопасно "
"22 Февраля 2017 [14 25]" "23 февраля в горах Краснодарского края выше 1000 м  Адыгеи  Ингушетии выше 1500 м  Чеченской Республики выше 2000 м  Республики Алтай лавиноопасно "
"22 Февраля 2017 [12 55]" "ВС 17-20 часов 22 февраля и ночью с 22 на 23 февраля в высокогорной зоне г  Сочи очень сильный снег "
"22 Февраля 2017 [06 00]" "В ближайший час с сохранением до конца суток 22 февраля на востоке Чукотского автономного округа ожидается усиление восточного ветра 15-20 м/с  порывами 25-30 м/с  на побережье Берингова моря порывами 35-40 м/с  сильная метель  видимость 500 м и менее  "
"21 Февраля 2017 [11 05]" "22 февраля в горах Краснодарского края выше 1000 м  Адыгеи  Ингушетии выше 1500 м  Чеченской Республики выше 2000 м  Республики Алтай лавиноопасно "
"20 Февраля 2017 [11 05]" "21 февраля в горах Краснодарского края выше 1000 м  Адыгеи  Ингушетии выше 1500 м  Чеченской Республики выше 2000 м  Республики Алтай лавиноопасно "
"20 Февраля 2017 [10 20]" "В ближайший час с сохранением ночью 21 февраля в Кемеровской области ожидается снег  метель ветер 20-25 м/с  21-22 февраля в Алтайском крае сохранится сильный снег  мокрый снег  продолжительная метель  гололедные явления  ветер 20-22 м/с  местами порывы 25-27 м/с  на дорогах заносы  местами гололедица "
"20 Февраля 2017 [07 15]" "с 06 00 ВСВ 20 февраля на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края местами ожидается снег  метель  видимость менее 1000 м   сильный южный ветер с порывами 21-26 м/с "
"19 Февраля 2017 [12 27]" "В период с 18 часов 19 февраля до 18 часов 20 февраля в горах Краснодарского края выше 1000 м  Адыгеи  Ингушетии выше 1500 м и в горах Чеченской Республики выше 2000 м лавиноопасно   20 февраля в горах Республики Алтай лавиноопасно "
"19 Февраля 2017 [10 40]" "Сутки 20 и ночью 21 февраля в Алтайском крае и Республике Алтай ожидается снег  местами сильный  продолжительная метель  усиление ветра 15-20 м/с  местами порывы 22-27 м/с  в горах и на перевалах Республики Алтай 27-32 м/с  на дорогах снежные заносы  местами гололедица "
"17 Февраля 2017 [13 45]" "18 февраля в горах Ингушетии и Чеченской Республики лавиноопасно "
"17 Февраля 2017 [13 40]" "18 февраля в горах Краснодарского края и Адыгеи лавиноопасно "
"17 Февраля 2017 [11 15]" "18 февраля в горах Республики Алтай лавиноопасно "
"17 Февраля 2017 [10 25]" "С 11 00 МСК с сохранением до конца суток 17 и 18 февраля на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края ожидается ветер 21-26 м/с  снег  метель  видимость менее 1000 м "
"16 Февраля 2017 [11 41]" "17 февраля в горах Краснодарского края выше 1000 м  Адыгеи  Ингушетии выше 1500 м  Чеченской Республики выше 2000 м  Республики Алтай лавиноопасно "
"16 Февраля 2017 [10 00]" "Днем 17 февраля с сохранением ночью 18 февраля в Алтайском крае местами ожидается сильный снег  мокрый снег  метель  гололедные явления  ветер 15-20 м/с  на юге до 25 м/с "
"16 Февраля 2017 [06 50]" "Утром 17 февраля в предгорной зоне МО г  Сочи  Краснодарский край  ожидается сильный мороз  температура до -11°  "
"15 Февраля 2017 [12 30]" "В период с 18 часов 15 февраля до 18 часов 16 февраля в горах Краснодарского края выше 1000 м  а также в горах Адыгеи  Ингушетии выше 1500 м и в горах Чеченской Республики выше 2000 м лавиноопасно  16 февраля в горах Республики Алтай лавиноопасно "
"14 Февраля 2017 [11 05]" "В связи с прохождением атмосферного фронта 15 февраля в Республике Крым ожидаются сложные погодные условия  сильный снег  местами очень сильный  метель  на дорогах гололедица  усиление северо-западного ветра до 20-25 м/с "
"13 Февраля 2017 [22 05]" "С 06 часов 14 февраля с сохранением до конца суток в северных и центральных районах в близи крупных водоемов Карелии ветер северо-западный с порывами 25 м/с и более "
"13 Февраля 2017 [21 55]" "С 22 часов 13 февраля с сохранением до конца суток 13 февраля-ночью и утром 14 февраля в Мурманской области и в Кольском заливе ветер западный с порывами 22-27 м/с  снег  метель "
"13 Февраля 2017 [14 35]" "14 февраля в горах Краснодарского края  кроме горных районов Сочи  выше 1000 м  Адыгеи  Ингушетии выше 1500 м  Чеченской Республики выше 2000 м  горах Республики Алтай лавиноопасно "
